Circuit: * C:\Users\torbe\Documents\2.0 Studium\6.0 Semester\M6.10 Analoge Schaltungen (ANS)\ANS-VCO-Projekt-2026\sim\Wien-VCO.asc

Warning: Multiple definitions of model "1n750" Type: Diode
Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.000618573 to 0.000618573
Heightened Def Con from 0.000618573 to 0.000618573
Heightened Def Con from 0.000618573 ++to 0.000618573
Heightened Def Con from 0.000618573 to 0.000618573
Heightened Def Con from 0.000618573 +to 0.000618573
Heightened Def Con from 0.000618573 ++++to 0.000618573
Heightened Def Con from 0.000618573 +to 0.000618573
Heightened Def Con from 0.000618573 to 0.000618573
Heightened Def Con from 0.00062027 ++++++to 0.00062027
Heightened Def Con from 0.00062027 to 0.00062027
Heightened Def Con from 0.000620669 to 0.000620669
Heightened Def Con from 0.000620669 to 0.000620669
Heightened Def Con from 0.000620869 to 0.000620869
Heightened Def Con from 0.000621469 to 0.000621469
Heightened Def Con from 0.000621469 +to 0.000621469
Heightened Def Con from 0.000621469 ++to 0.000621469
Heightened Def Con from 0.000621469 to 0.000621469
Heightened Def Con from 0.000621572 +to 0.000621572
Heightened Def Con from 0.000621572 to 0.000621572
Heightened Def Con from 0.000622469 to 0.000622469
Heightened Def Con from 0.000622869 to 0.000622869
Heightened Def Con from 0.000622869 to 0.000622869
Heightened Def Con from 0.000625468 +to 0.000625468
Heightened Def Con from 0.000625468 to 0.000625468
Heightened Def Con from 0.000625468 +++++to 0.000625468
Heightened Def Con from 0.000625468 to 0.000625468
Heightened Def Con from 0.000627569 to 0.000627569
Heightened Def Con from 0.000628465 to 0.000628465
Heightened Def Con from 0.000628465 to 0.000628465
Heightened Def Con from 0.000628465 to 0.000628465
Heightened Def Con from 0.000628465 +++to 0.000628465
Heightened Def Con from 0.000628465 to 0.000628465
Heightened Def Con from 0.000629465 to 0.000629465
Heightened Def Con from 0.000632765 to 0.000632765
Heightened Def Con from 0.000632862 +to 0.000632862
Heightened Def Con from 0.000632862 +++to 0.000632862
Heightened Def Con from 0.000633862 ++++++++++++to 0.000633862
Heightened Def Con from 0.000633862 +++++++++++++to 0.000633862
Heightened Def Con from 0.000633862 +++++++++++++to 0.000633862
Heightened Def Con from 0.000635564 to 0.000635564
Heightened Def Con from 0.000635861 ++++to 0.000635861
Heightened Def Con from 0.000635861 to 0.000635861
Heightened Def Con from 0.000636261 to 0.000636261
Heightened Def Con from 0.000636261 to 0.000636261
Heightened Def Con from 0.000636261 +++to 0.000636261
Heightened Def Con from 0.000636261 +to 0.000636261
Heightened Def Con from 0.000636261 ++to 0.000636261
Heightened Def Con from 0.000636261 to 0.000636261
Heightened Def Con from 0.000636461 ++++++to 0.000636461
Heightened Def Con from 0.000636861 +++to 0.000636861
Heightened Def Con from 0.000636861 +++++to 0.000636861
Heightened Def Con from 0.000636861 to 0.000636861
Heightened Def Con from 0.000636861 to 0.000636861
Heightened Def Con from 0.000636963 to 0.000636963
Heightened Def Con from 0.000636963 +++to 0.000636963
Heightened Def Con from 0.000636963 to 0.000636963
Heightened Def Con from 0.00063846 +++++++to 0.00063846
Heightened Def Con from 0.00063846 ++++++++++++to 0.00063846
Heightened Def Con from 0.00063846 +++++++++++to 0.00063846
Heightened Def Con from 0.00063846 ++++++++++to 0.00063846
Heightened Def Con from 0.00063846 ++++++++++to 0.00063846
Heightened Def Con from 0.00063846 ++++++++++to 0.00063846
Heightened Def Con from 0.00063846 ++++++++++to 0.00063846
Heightened Def Con from 0.00063846 +++++++++to 0.00063846
Heightened Def Con from 0.00063846 to 0.00063846
Heightened Def Con from 0.00063866 ++to 0.00063866
Heightened Def Con from 0.00063866 to 0.00063866
Heightened Def Con from 0.000641058 +++++++++to 0.000641058
Heightened Def Con from 0.000641058 to 0.000641058
Heightened Def Con from 0.00064136 to 0.00064136
Heightened Def Con from 0.00064136 to 0.00064136
Heightened Def Con from 0.000641458 ++to 0.000641458
Heightened Def Con from 0.000641458 to 0.000641458
Heightened Def Con from 0.000642857 +++++++to 0.000642857
Heightened Def Con from 0.000643759 to 0.000643759
Heightened Def Con from 0.000644056 +++++to 0.000644056
Heightened Def Con from 0.000644056 to 0.000644056
Heightened Def Con from 0.000644656 to 0.000644656
Heightened Def Con from 0.000644656 to 0.000644656
Heightened Def Con from 0.000644656 ++++++++to 0.000644656
Heightened Def Con from 0.000644656 to 0.000644656
Heightened Def Con from 0.000645056 to 0.000645056
Heightened Def Con from 0.000648455 +++++++to 0.000648455
Heightened Def Con from 0.000650254 to 0.000650254
Heightened Def Con from 0.000650254 to 0.000650254
Heightened Def Con from 0.000650254 to 0.000650254
Heightened Def Con from 0.000650254 to 0.000650254
Heightened Def Con from 0.000650254 ++++++to 0.000650254
Heightened Def Con from 0.000650254 +to 0.000650254
Heightened Def Con from 0.000650357 to 0.000650357
Heightened Def Con from 0.000651957 to 0.000651957
Heightened Def Con from 0.000651957 to 0.000651957
Heightened Def Con from 0.000654253 +to 0.000654253
Heightened Def Con from 0.000654253 to 0.000654253
Heightened Def Con from 0.000654653 to 0.000654653
Heightened Def Con from 0.000655453 to 0.000655453
Heightened Def Con from 0.000655453 ++++++++++++to 0.000655453
Heightened Def Con from 0.000655453 +++++++++++to 0.000655453
Heightened Def Con from 0.000655453 ++++++++++to 0.000655453
Heightened Def Con from 0.000655453 ++++++++++to 0.000655453
Heightened Def Con from 0.000655453 ++++++++++to 0.000655453
Heightened Def Con from 0.000655453 ++++++++++to 0.000655453
Heightened Def Con from 0.000655453 +++++++++to 0.000655453
Heightened Def Con from 0.000655453 to 0.000655453
Heightened Def Con from 0.000656155 to 0.000656155
Heightened Def Con from 0.000656155 to 0.000656155
Heightened Def Con from 0.000656155 ++to 0.000656155
Heightened Def Con from 0.000656155 to 0.000656155
Heightened Def Con from 0.000656155 to 0.000656155
Heightened Def Con from 0.000656155 +to 0.000656155
Heightened Def Con from 0.000658155 ++to 0.000658155
Heightened Def Con from 0.000658155 +++to 0.000658155
Heightened Def Con from 0.000658155 +++to 0.000658155
Heightened Def Con from 0.000658155 to 0.000658155
Heightened Def Con from 0.000658252 to 0.000658252
Heightened Def Con from 0.000658252 to 0.000658252
Heightened Def Con from 0.000658252 +to 0.000658252
Heightened Def Con from 0.000658252 to 0.000658252
Heightened Def Con from 0.000658252 +++++to 0.000658252
Heightened Def Con from 0.000658252 to 0.000658252
Heightened Def Con from 0.000658252 to 0.000658252
Heightened Def Con from 0.000658252 to 0.000658252
Heightened Def Con from 0.000659052 to 0.000659052
Heightened Def Con from 0.000659252 ++++++to 0.000659252
Heightened Def Con from 0.000659252 to 0.000659252
Heightened Def Con from 0.000659852 to 0.000659852
Heightened Def Con from 0.000659852 to 0.000659852
Heightened Def Con from 0.000661154 to 0.000661154
Heightened Def Con from 0.000661154 to 0.000661154
Heightened Def Con from 0.000661154 to 0.000661154
Heightened Def Con from 0.000661154 to 0.000661154
Heightened Def Con from 0.000663552 to 0.000663552
Heightened Def Con from 0.000663552 to 0.000663552
Heightened Def Con from 0.000666751 to 0.000666751
Heightened Def Con from 0.000668048 to 0.000668048
Heightened Def Con from 0.000668048 to 0.000668048
Heightened Def Con from 0.000668048 to 0.000668048
Heightened Def Con from 0.000668048 to 0.000668048
Heightened Def Con from 0.00066815 ++to 0.00066815
Heightened Def Con from 0.00066815 to 0.00066815
Heightened Def Con from 0.000668248 +++to 0.000668248
Heightened Def Con from 0.000668248 ++++to 0.000668248
Heightened Def Con from 0.000668248 to 0.000668248
Heightened Def Con from 0.000668647 to 0.000668647
Heightened Def Con from 0.000668647 to 0.000668647
Heightened Def Con from 0.00066875 to 0.00066875
Heightened Def Con from 0.000669047 to 0.000669047
Heightened Def Con from 0.000669047 to 0.000669047
Heightened Def Con from 0.000670247 to 0.000670247
Heightened Def Con from 0.000670247 to 0.000670247
Heightened Def Con from 0.000670247 +++to 0.000670247
Heightened Def Con from 0.000670247 to 0.000670247
Heightened Def Con from 0.000672446 to 0.000672446
Heightened Def Con from 0.000674845 to 0.000674845
Heightened Def Con from 0.000674845 +++++++++to 0.000674845
Heightened Def Con from 0.000674845 to 0.000674845
Heightened Def Con from 0.000675045 to 0.000675045
Heightened Def Con from 0.000675045 ++to 0.000675045
Heightened Def Con from 0.000675045 to 0.000675045
Heightened Def Con from 0.000679042 to 0.000679042
Heightened Def Con from 0.000680144 to 0.000680144
Heightened Def Con from 0.000680144 to 0.000680144
Heightened Def Con from 0.000680144 to 0.000680144
Heightened Def Con from 0.000680641 to 0.000680641
Heightened Def Con from 0.000680641 to 0.000680641
Heightened Def Con from 0.000682041 ++++++to 0.000682041
Heightened Def Con from 0.00068284 to 0.00068284
Heightened Def Con from 0.00068284 to 0.00068284
Heightened Def Con from 0.00068464 +++++++++to 0.00068464
Heightened Def Con from 0.00068464 to 0.00068464
Heightened Def Con from 0.00068504 to 0.00068504
Heightened Def Con from 0.000685742 to 0.000685742
Heightened Def Con from 0.000685742 to 0.000685742
Heightened Def Con from 0.00068604 to 0.00068604
Heightened Def Con from 0.00068604 ++++++to 0.00068604
Heightened Def Con from 0.00068604 to 0.00068604
Heightened Def Con from 0.000687342 to 0.000687342
Heightened Def Con from 0.000687942 to 0.000687942
Heightened Def Con from 0.000687942 +++to 0.000687942
Heightened Def Con from 0.000687942 to 0.000687942
Heightened Def Con from 0.000688542 to 0.000688542
Heightened Def Con from 0.000688542 to 0.000688542
Heightened Def Con from 0.000688542 to 0.000688542
Heightened Def Con from 0.00068884 ++++to 0.00068884
Heightened Def Con from 0.00068884 to 0.00068884
Heightened Def Con from 0.000689839 +++++to 0.000689839
Heightened Def Con from 0.000689839 to 0.000689839
Heightened Def Con from 0.000691541 +to 0.000691541
Heightened Def Con from 0.000691541 +to 0.000691541
Heightened Def Con from 0.000691541 +to 0.000691541
Heightened Def Con from 0.000691541 to 0.000691541
Heightened Def Con from 0.000692239 to 0.000692239
Heightened Def Con from 0.000692838 +++++to 0.000692838
Heightened Def Con from 0.000692838 to 0.000692838
Heightened Def Con from 0.000693638 to 0.000693638
Heightened Def Con from 0.000693838 to 0.000693838
Heightened Def Con from 0.000694838 to 0.000694838
Heightened Def Con from 0.000694838 +++to 0.000694838
Heightened Def Con from 0.000694838 to 0.000694838
Heightened Def Con from 0.00069494 to 0.00069494
Heightened Def Con from 0.00069494 to 0.00069494
Heightened Def Con from 0.00069494 to 0.00069494
Heightened Def Con from 0.00069494 to 0.00069494
Heightened Def Con from 0.00069494 to 0.00069494
Heightened Def Con from 0.000695637 to 0.000695637
Heightened Def Con from 0.000695637 to 0.000695637
Heightened Def Con from 0.00069574 to 0.00069574
Heightened Def Con from 0.00069574 to 0.00069574
Heightened Def Con from 0.000695837 to 0.000695837
Heightened Def Con from 0.000695837 to 0.000695837
Heightened Def Con from 0.000695837 to 0.000695837
Heightened Def Con from 0.000699139 to 0.000699139
Heightened Def Con from 0.000699139 to 0.000699139
Heightened Def Con from 0.000699836 ++to 0.000699836
Heightened Def Con from 0.000699836 +++to 0.000699836
Heightened Def Con from 0.000699836 to 0.000699836
Heightened Def Con from 0.000701338 to 0.000701338
Heightened Def Con from 0.000701338 to 0.000701338
Heightened Def Con from 0.000701338 ++to 0.000701338
Heightened Def Con from 0.000701338 to 0.000701338
Heightened Def Con from 0.000701338 to 0.000701338
Heightened Def Con from 0.000702338 to 0.000702338
Heightened Def Con from 0.000702338 to 0.000702338
Heightened Def Con from 0.000703835 to 0.000703835
Heightened Def Con from 0.000703835 ++to 0.000703835
Heightened Def Con from 0.000703835 ++++to 0.000703835
Heightened Def Con from 0.000703835 to 0.000703835
Heightened Def Con from 0.000705035 to 0.000705035
Heightened Def Con from 0.000705235 to 0.000705235
Heightened Def Con from 0.000705235 to 0.000705235
Heightened Def Con from 0.000706736 +to 0.000706736
Heightened Def Con from 0.000706736 +to 0.000706736
Heightened Def Con from 0.000706736 to 0.000706736
Heightened Def Con from 0.000706736 ++to 0.000706736
Heightened Def Con from 0.000706736 +++to 0.000706736
Heightened Def Con from 0.000706736 to 0.000706736
Heightened Def Con from 0.000706736 +++++++++++++++++++to 0.000706737
Heightened Def Con from 0.000708433 to 0.000708433
Heightened Def Con from 0.000708433 to 0.000708433
Heightened Def Con from 0.000708433 to 0.000708433
Heightened Def Con from 0.000708935 to 0.000708935
Heightened Def Con from 0.000710032 to 0.000710032
Heightened Def Con from 0.000710032 ++++++to 0.000710032
Heightened Def Con from 0.000710032 to 0.000710032
Heightened Def Con from 0.000710631 to 0.000710631
Heightened Def Con from 0.000710733 to 0.000710733
Heightened Def Con from 0.000710733 +to 0.000710733
Heightened Def Con from 0.000710733 to 0.000710733
Heightened Def Con from 0.000710733 to 0.000710733
Heightened Def Con from 0.000710733 to 0.000710733
Heightened Def Con from 0.000710733 to 0.000710733
Heightened Def Con from 0.000718226 to 0.000718226
Heightened Def Con from 0.000718226 ++++++++to 0.000718226
Heightened Def Con from 0.000722424 +++++++to 0.000722424
Heightened Def Con from 0.000722526 to 0.000722526
Heightened Def Con from 0.000722526 to 0.000722526
Heightened Def Con from 0.000723223 to 0.000723223
Heightened Def Con from 0.000723326 to 0.000723326
Heightened Def Con from 0.000723326 +++to 0.000723326
Heightened Def Con from 0.000730817 to 0.000730817
Heightened Def Con from 0.000730817 ++to 0.000730817
Heightened Def Con from 0.000730817 to 0.000730817
Heightened Def Con from 0.00073092 to 0.00073092
Heightened Def Con from 0.00073092 to 0.00073092
Heightened Def Con from 0.00073092 to 0.00073092
Heightened Def Con from 0.00073092 to 0.00073092
Heightened Def Con from 0.00073092 to 0.00073092
Heightened Def Con from 0.00073092 to 0.00073092
Heightened Def Con from 0.000734015 +++to 0.000734015
Heightened Def Con from 0.000734615 +to 0.000734615
Heightened Def Con from 0.000734615 to 0.000734615
Heightened Def Con from 0.000734615 to 0.000734615
Heightened Def Con from 0.000735815 ++to 0.000735815
Heightened Def Con from 0.000735815 to 0.000735815
Heightened Def Con from 0.000737317 ++to 0.000737317
Heightened Def Con from 0.000737317 +++to 0.000737317
Heightened Def Con from 0.000737317 +++++to 0.000737317
Heightened Def Con from 0.000737317 ++++++to 0.000737317
Heightened Def Con from 0.000737317 ++++to 0.000737317
Heightened Def Con from 0.000737317 to 0.000737317
Heightened Def Con from 0.000739414 to 0.000739414
Heightened Def Con from 0.000740613 to 0.000740613
Heightened Def Con from 0.000740613 to 0.000740613
Heightened Def Con from 0.000742515 to 0.000742515
Heightened Def Con from 0.000742515 ++to 0.000742515
Heightened Def Con from 0.000742515 to 0.000742515
Heightened Def Con from 0.000742515 to 0.000742515
Heightened Def Con from 0.000743612 ++++++to 0.000743612
Heightened Def Con from 0.000743612 to 0.000743612
Heightened Def Con from 0.000746611 to 0.000746611
Heightened Def Con from 0.000746611 to 0.000746611
Heightened Def Con from 0.000749209 to 0.000749209
Heightened Def Con from 0.000751807 to 0.000751807
Heightened Def Con from 0.000752309 ++to 0.000752309
Heightened Def Con from 0.000752309 +++to 0.000752309
Heightened Def Con from 0.000752309 to 0.000752309
Heightened Def Con from 0.000752606 to 0.000752606
Heightened Def Con from 0.000752606 to 0.000752606
Heightened Def Con from 0.000752606 to 0.000752606
Heightened Def Con from 0.000752708 to 0.000752708
Heightened Def Con from 0.000752708 to 0.000752708
Heightened Def Con from 0.000753006 +++++++to 0.000753006
Heightened Def Con from 0.000754005 to 0.000754005
Heightened Def Con from 0.000754005 to 0.000754005
Heightened Def Con from 0.000754005 to 0.000754005
Heightened Def Con from 0.000755604 to 0.000755604
Heightened Def Con from 0.000756004 to 0.000756004
Heightened Def Con from 0.000759202 to 0.000759202
Heightened Def Con from 0.000759202 to 0.000759202
Heightened Def Con from 0.000759202 to 0.000759202
Heightened Def Con from 0.000759602 ++++to 0.000759602
Heightened Def Con from 0.000759602 to 0.000759602
Heightened Def Con from 0.000759802 +++++to 0.000759802
Heightened Def Con from 0.000762801 to 0.000762801
Heightened Def Con from 0.000764103 to 0.000764103
Heightened Def Con from 0.0007648 ++to 0.0007648
Heightened Def Con from 0.0007648 to 0.0007648
Heightened Def Con from 0.0007648 +++to 0.0007648
Heightened Def Con from 0.0007648 ++++++++++++to 0.0007648
Heightened Def Con from 0.0007648 ++++++++to 0.0007648
Heightened Def Con from 0.0007648 to 0.0007648
Heightened Def Con from 0.0007648 +++++++to 0.0007648
Heightened Def Con from 0.0007648 to 0.0007648
Heightened Def Con from 0.0007654 to 0.0007654
Heightened Def Con from 0.0007654 ++++++to 0.0007654
Heightened Def Con from 0.000768101 ++to 0.000768101
Heightened Def Con from 0.000768101 to 0.000768101
Heightened Def Con from 0.000769997 to 0.000769997
Heightened Def Con from 0.000770397 to 0.000770397
Heightened Def Con from 0.000770397 ++to 0.000770397
Heightened Def Con from 0.000770397 to 0.000770397
Heightened Def Con from 0.000770597 +++++++++to 0.000770597
Heightened Def Con from 0.000770597 to 0.000770597
Heightened Def Con from 0.000770699 to 0.000770699
Heightened Def Con from 0.000770797 to 0.000770797
Heightened Def Con from 0.000770797 to 0.000770797
Heightened Def Con from 0.000770797 to 0.000770797
Heightened Def Con from 0.000772498 ++to 0.000772498
Heightened Def Con from 0.000772498 +to 0.000772498
Heightened Def Con from 0.000773698 to 0.000773698
Heightened Def Con from 0.000773995 to 0.000773995
Heightened Def Con from 0.000773995 +to 0.000773995
Heightened Def Con from 0.000773995 +++to 0.000773995
Heightened Def Con from 0.000773995 +++++++to 0.000773995
Heightened Def Con from 0.000777193 to 0.000777193
Heightened Def Con from 0.000777193 to 0.000777193
Heightened Def Con from 0.000777193 ++++++to 0.000777193
Heightened Def Con from 0.000777193 to 0.000777193
Heightened Def Con from 0.000778392 +to 0.000778392
Heightened Def Con from 0.000778392 to 0.000778392
Heightened Def Con from 0.000778694 +to 0.000778694
Heightened Def Con from 0.000778694 to 0.000778694
Heightened Def Con from 0.000779494 to 0.000779494
Heightened Def Con from 0.000779494 to 0.000779494
Heightened Def Con from 0.00078059 to 0.00078059
Heightened Def Con from 0.00078059 to 0.00078059
Heightened Def Con from 0.000780893 +to 0.000780893
Heightened Def Con from 0.000780893 +to 0.000780893
Heightened Def Con from 0.000780893 +++to 0.000780893
Heightened Def Con from 0.000780893 to 0.000780893
Heightened Def Con from 0.00078199 to 0.00078199
Heightened Def Con from 0.000784491 +to 0.000784491
Heightened Def Con from 0.000784491 ++++to 0.000784491
Heightened Def Con from 0.000784491 ++to 0.000784491
Heightened Def Con from 0.000784988 to 0.000784988
Heightened Def Con from 0.000789386 to 0.000789386
Heightened Def Con from 0.000789386 to 0.000789386
Heightened Def Con from 0.000789386 +to 0.000789386
Heightened Def Con from 0.000789386 +to 0.000789386
Heightened Def Con from 0.000789386 to 0.000789386
Heightened Def Con from 0.000789386 to 0.000789386
Heightened Def Con from 0.000790888 to 0.000790888
Heightened Def Con from 0.000790888 to 0.000790888
Heightened Def Con from 0.000790888 to 0.000790888
Heightened Def Con from 0.000790888 to 0.000790888
Heightened Def Con from 0.000790888 to 0.000790888
Heightened Def Con from 0.000790888 to 0.000790888
Heightened Def Con from 0.000793385 to 0.000793385
Heightened Def Con from 0.000793488 +++++++++++++++++++to 0.000793489
Heightened Def Con from 0.000793888 to 0.000793888
Heightened Def Con from 0.000793888 +to 0.000793888
Heightened Def Con from 0.000793888 +++to 0.000793888
Heightened Def Con from 0.000793888 +++to 0.000793888
Heightened Def Con from 0.000793888 ++to 0.000793888
Heightened Def Con from 0.000793888 to 0.000793888
Heightened Def Con from 0.000793985 to 0.000793985
Heightened Def Con from 0.000793985 to 0.000793985
Heightened Def Con from 0.000794985 to 0.000794985
Heightened Def Con from 0.000794985 ++to 0.000794985
Heightened Def Con from 0.000794985 to 0.000794985
Heightened Def Con from 0.000794985 ++++++to 0.000794985
Heightened Def Con from 0.000794985 to 0.000794985
Heightened Def Con from 0.000795984 ++++++to 0.000795984
Heightened Def Con from 0.000795984 to 0.000795984
Heightened Def Con from 0.000799583 to 0.000799583
Heightened Def Con from 0.000799583 +++++to 0.000799583
Heightened Def Con from 0.000799583 to 0.000799583
Heightened Def Con from 0.000799983 to 0.000799983
Heightened Def Con from 0.000801382 to 0.000801382
Heightened Def Con from 0.000801382 ++++++to 0.000801382
Heightened Def Con from 0.000801382 to 0.000801382
Heightened Def Con from 0.000804683 to 0.000804683
Heightened Def Con from 0.000804683 +++to 0.000804683
Heightened Def Con from 0.000804683 to 0.000804683
Heightened Def Con from 0.00080538 to 0.00080538
Heightened Def Con from 0.00080538 ++++++to 0.00080538
Heightened Def Con from 0.00080538 ++to 0.00080538
Heightened Def Con from 0.00080538 +++++++++to 0.00080538
Heightened Def Con from 0.00080578 to 0.00080578
Heightened Def Con from 0.00080618 to 0.00080618
Heightened Def Con from 0.00080618 +to 0.00080618
Heightened Def Con from 0.00080618 to 0.00080618
Heightened Def Con from 0.00080618 ++++++++++++to 0.00080618
Heightened Def Con from 0.00080618 +++++++++++to 0.00080618
Heightened Def Con from 0.00080618 ++++++++++to 0.00080618
Heightened Def Con from 0.00080618 ++++++++++to 0.00080618
Heightened Def Con from 0.00080618 ++++++++++to 0.00080618
Heightened Def Con from 0.00080618 ++++++++++to 0.00080618
Heightened Def Con from 0.00080618 +++++++++to 0.00080618
Heightened Def Con from 0.00080618 to 0.00080618
Heightened Def Con from 0.00080618 to 0.00080618
Heightened Def Con from 0.000808579 +to 0.000808579
Heightened Def Con from 0.000808579 to 0.000808579
Heightened Def Con from 0.000808579 to 0.000808579
Heightened Def Con from 0.000808579 to 0.000808579
Heightened Def Con from 0.000808579 to 0.000808579
Heightened Def Con from 0.000808579 to 0.000808579
Heightened Def Con from 0.000808979 ++++++to 0.000808979
Heightened Def Con from 0.000809481 ++to 0.000809481
Heightened Def Con from 0.000809481 to 0.000809481
Heightened Def Con from 0.000809481 +to 0.000809481
Heightened Def Con from 0.000809481 to 0.000809481
Heightened Def Con from 0.000809579 to 0.000809579
Heightened Def Con from 0.000809579 +++++to 0.000809579
Heightened Def Con from 0.000809579 to 0.000809579
Heightened Def Con from 0.000811281 to 0.000811281
Heightened Def Con from 0.000811778 ++++++to 0.000811778
Heightened Def Con from 0.000811778 to 0.000811778
Heightened Def Con from 0.000811978 to 0.000811978
Heightened Def Con from 0.00081268 to 0.00081268
Heightened Def Con from 0.00081268 to 0.00081268
Heightened Def Con from 0.000819375 to 0.000819375
Heightened Def Con from 0.000819974 to 0.000819974
Heightened Def Con from 0.000820374 to 0.000820374
Heightened Def Con from 0.000820374 to 0.000820374
Heightened Def Con from 0.000821876 ++to 0.000821876
Heightened Def Con from 0.000821876 +++++to 0.000821876
Heightened Def Con from 0.000821876 ++to 0.000821876
Heightened Def Con from 0.000821876 to 0.000821876
Heightened Def Con from 0.000821974 +to 0.000821974
Heightened Def Con from 0.000821974 to 0.000821974
Heightened Def Con from 0.000822773 to 0.000822773
Heightened Def Con from 0.000822773 ++++++++to 0.000822773
Heightened Def Con from 0.000822773 to 0.000822773
Heightened Def Con from 0.000822876 to 0.000822876
Heightened Def Con from 0.000822876 ++to 0.000822876
Heightened Def Con from 0.000822876 to 0.000822876
Heightened Def Con from 0.000822876 +++to 0.000822876
